sample,strain,name,dataset,run,source,lineage,vni_subdivision
ERS2541065,04CN-65-002,04CN-65-002,Ashton,ERR2624469,Clinical,VNI,VNIa-93
ERS2540995,04CN-65-003,04CN-65-003,Ashton,ERR2624403,Clinical,VNI,VNIa-93
ERS2541034,04CN-65-004,04CN-65-004,Ashton,ERR2624353,Clinical,VNI,VNIa-93
ERS2540926,04CN-65-005,04CN-65-005,Ashton,ERR2624217,Clinical,VNI,VNIa-93
ERS2540973,04CN-65-006,04CN-65-006,Ashton,ERR2624317,Clinical,VNI,VNIa-Y
ERS2540985,04CN-65-007,04CN-65-007,Ashton,ERR2624476,Clinical,VNI,VNIa-93
ERS2540983,04CN-65-008,04CN-65-008,Ashton,ERR2624294,Clinical,VNI,VNIa-93
ERS2541033,04CN-65-010,04CN-65-010,Ashton,ERR2624268,Clinical,VNI,VNIa-Y
ERS2540963,04CN-65-013,04CN-65-013,Ashton,ERR2624277,Clinical,VNI,VNIa-5
ERS2541329,04CN-65-016,04CN-65-016,Ashton,ERR2624109,Clinical,VNI,VNIa-93
ERS2540991,04CN-65-017,04CN-65-017,Ashton,ERR2624253,Clinical,VNI,VNIa-93
ERS2541069,04CN-65-018,04CN-65-018,Ashton,ERR2624272,Clinical,VNI,VNIa-5
ERS2541321,04CN-65-019,04CN-65-019,Ashton,ERR2624434,Clinical,VNI,
ERS2541057,04CN-65-023,04CN-65-023,Ashton,ERR2624237,Clinical,VNI,VNIa-outlier
ERS2541040,04CN-65-024,04CN-65-024,Ashton,ERR2624484,Clinical,VNI,VNIa-93
ERS2540964,04CN-65-027,04CN-65-027,Ashton,ERR2624331,Clinical,VNI,VNIa-X
ERS2541046,04CN-65-030,04CN-65-030,Ashton,ERR2624184,Clinical,VNI,VNIa-93
ERS2541042,04CN-65-031,04CN-65-031,Ashton,ERR2624151,Clinical,VNI,VNII
ERS2541051,04CN-65-032,04CN-65-032,Ashton,ERR2624171,Clinical,VNI,VNIa-X
ERS2541001,04CN-65-035,04CN-65-035,Ashton,ERR2624361,Clinical,VNI,VNIa-93
ERS2541029,04CN-65-038,04CN-65-038,Ashton,ERR2624358,Clinical,VNI,VNIa-93
ERS2540924,04CN-65-040,04CN-65-040,Ashton,ERR2624492,Clinical,VNI,VNIa-93
ERS2541058,04CN-65-043,04CN-65-043,Ashton,ERR2624092,Clinical,VNI,VNIa-93
ERS2541071,04CN-65-044,04CN-65-044,Ashton,ERR2624468,Clinical,VNI,VNIa-93
ERS2541007,04CN-65-045,04CN-65-045,Ashton,ERR2624196,Clinical,VNI,VNIb
ERS2541062,04CN-65-046,04CN-65-046,Ashton,ERR2624504,Clinical,VNI,VNIa-outlier
ERS2541013,04CN-65-047,04CN-65-047,Ashton,ERR2624367,Clinical,VNI,VNIb
ERS2541047,04CN-65-049,04CN-65-049,Ashton,ERR2624210,Clinical,VNI,VNIa-93
ERS2540942,04CN-65-054,04CN-65-054,Ashton,ERR2624172,Clinical,VNI,VNIa-93
ERS2541304,04CN-65-056,04CN-65-056,Ashton,ERR2624219,Clinical,VNI,VNIa-5
ERS2541023,04CN-65-059,04CN-65-059,Ashton,ERR2624141,Clinical,VNI,VNIa-93
ERS2541056,04CN-65-062,04CN-65-062,Ashton,ERR2624337,Clinical,VNI,VNIb
ERS2541053,04CN-65-064,04CN-65-064,Ashton,ERR2624458,Clinical,VNI,VNIa-93
ERS2541309,04CN-65-070,04CN-65-070,Ashton,ERR2624212,Clinical,VNI,VNIa-93
ERS2540938,04CN-65-071,04CN-65-071,Ashton,ERR2624189,Clinical,VNI,VNIa-93
ERS2540945,04CN-65-072,04CN-65-072,Ashton,ERR2624432,Clinical,VNI,VNIa-32
ERS2540943,04CN-65-073,04CN-65-073,Ashton,ERR2624202,Clinical,VNI,VNIa-Y
ERS2541002,04CN-65-074,04CN-65-074,Ashton,ERR2624181,Clinical,VNI,VNIb
ERS2541310,04CN-65-080,04CN-65-080,Ashton,ERR2624147,Clinical,VNI,VNIa-93
ERS2541059,04CN-65-085,04CN-65-085,Ashton,ERR2624323,Clinical,VNI,VNIa-93
ERS2541311,04CN-65-086,04CN-65-086,Ashton,ERR2624205,Clinical,VNI,VNIa-93
ERS2541316,04CN-65-087,04CN-65-087,Ashton,ERR2624097,Clinical,VNI,VNIb
ERS2541043,04CN-65-089,04CN-65-089,Ashton,ERR2624329,Clinical,VNI,VNIa-93
ERS2541012,04CN-65-091,04CN-65-091,Ashton,ERR2624387,Clinical,VNI,VNIa-93
ERS2540927,04CN-65-095,04CN-65-095,Ashton,ERR2624095,Clinical,VNI,VNIa-93
ERS2541014,04CN-65-096,04CN-65-096,Ashton,ERR2624275,Clinical,VNI,VNIb
ERS2541003,04CN-65-098,04CN-65-098,Ashton,ERR2624418,Clinical,VNI,VNIa-93
ERS2541333,04CN-65-100,04CN-65-100,Ashton,ERR2624382,Clinical,VNI,VNIa-93
ERS2541324,04CN-65-102,04CN-65-102,Ashton,ERR2624315,Clinical,VNI,VNIa-93
ERS2540935,04CN-65-103,04CN-65-103,Ashton,ERR2624334,Clinical,VNI,VNIa-93
ERS2540950,04CN-65-106,04CN-65-106,Ashton,ERR2624139,Clinical,VNI,VNII
ERS2540959,04CN-65-108,04CN-65-108,Ashton,ERR2624349,Clinical,VNI,VNIa-93
ERS2540992,04CN-65-125,04CN-65-125,Ashton,ERR2624183,Clinical,VNI,VNIb
ERS2541055,04CN-65-127,04CN-65-127,Ashton,ERR2624281,Clinical,VNI,VNIa-93
ERS2540925,04CN-65-129,04CN-65-129,Ashton,ERR2624242,Clinical,VNI,
ERS2541019,04CN-65-130,04CN-65-130,Ashton,ERR2624350,Clinical,VNI,VNIa-X
ERS2541072,04CN-65-131,04CN-65-131,Ashton,ERR2624264,Clinical,VNI,VNIa-93
ERS2541077,04CN-65-132,04CN-65-132,Ashton,ERR2624477,Clinical,VNI,VNIb
ERS2540931,04CN-65-133,04CN-65-133,Ashton,ERR2624415,Clinical,VNI,
ERS2540981,04CN-65-134,04CN-65-134,Ashton,ERR2624267,Clinical,VNI,VNIa-93
ERS2541035,04CN-65-135,04CN-65-135,Ashton,ERR2624380,Clinical,VNI,VNIa-93
ERS2540947,04CN-65-137,04CN-65-137,Ashton,ERR2624357,Clinical,VNI,VNIa-93
ERS2541036,04CN-65-141,04CN-65-141,Ashton,ERR2624456,Clinical,VNI,VNIa-93
ERS2540978,04CN-65-142,04CN-65-142,Ashton,ERR2624215,Clinical,VNI,VNIa-93
ERS2541049,04CN-65-161,04CN-65-161,Ashton,ERR2624145,Clinical,VNI,VNIa-32
ERS2540928,04CN-65-163,04CN-65-163,Ashton,ERR2624344,Clinical,VNI,VNIa-93
ERS2541320,04CN-65-164,04CN-65-164,Ashton,ERR2624482,Clinical,VNI,VNIa-93
ERS2540923,04CN-65-165,04CN-65-165,Ashton,ERR2624383,Clinical,VNI,VNIa-93
ERS2540996,04CN-65-166,04CN-65-166,Ashton,ERR2624252,Clinical,VNI,VNIa-93
ERS2541024,04CN-65-167,04CN-65-167,Ashton,ERR2624230,Clinical,VNI,VNIa-93
ERS1142690,BK1,20949_2#1,Ashton,ERR1756534,Clinical,VNI,VNIa-4
ERS1142757,BK100,20427_2#60,Ashton,ERR1671658,Clinical,VNI,VNIa-4
ERS542396,BK101,14936_1#5,Ashton,ERR842637,Clinical,VNI,VNIa-32
ERS542397,BK102,14936_1#6,Ashton,ERR842638,Clinical,VNI,VNIa-5
ERS542398,BK105,14936_1#7,Ashton,ERR842639,Clinical,VNI,VNIa-5
ERS1142758,BK106,20427_2#61,Ashton,ERR1671659,Clinical,VNI,VNIa-4
ERS542400,BK107,14936_1#9,Ashton,ERR842640,Clinical,VNI,VNIa-5
ERS1142759,BK108,20427_2#62,Ashton,ERR1671660,Clinical,VNI,VNIa-93
ERS1142760,BK109,20427_2#63,Ashton,ERR1671661,Clinical,VNI,VNIa-4
ERS1142696,BK11,20427_2#5,Ashton,ERR1671603,Clinical,VNI,VNIa-32
ERS542403,BK111,15277_3#1,Ashton,ERR852919,Clinical,VNI,VNIa-4
ERS1142761,BK112,20427_2#64,Ashton,ERR1671662,Clinical,VNI,VNIa-93
ERS1142762,BK113,20427_2#65,Ashton,ERR1671663,Clinical,VNI,VNIa-4
ERS542406,BK114,14936_1#15,Ashton,ERR842644,Clinical,VNI,VNIa-4
ERS1142763,BK115,20427_2#66,Ashton,ERR1671664,Clinical,VNI,VNIa-5
ERS1142764,BK116,20427_2#67,Ashton,ERR1671665,Clinical,VNI,VNIa-5
ERS1142765,BK117,20427_2#68,Ashton,ERR1671666,Clinical,VNI,VNIa-5
ERS1142697,BK12,20427_2#6,Ashton,ERR1671604,Clinical,VNI,VNIa-93
ERS542413,BK123,14936_1#22,Ashton,ERR842647,Clinical,VNI,VNIa-4
ERS542414,BK125,15277_3#7,Ashton,ERR852925,Clinical,VNI,VNIa-4
ERS542415,BK127,15277_3#8,Ashton,ERR852926,Clinical,VNI,VNIa-4
ERS1142767,BK128,20949_2#10,Ashton,ERR1756543,Clinical,VNI,VNIa-5
ERS1142768,BK129,20427_2#69,Ashton,ERR1671667,Clinical,VNI,VNIa-93
ERS1142698,BK13,20427_2#7,Ashton,ERR1671605,Clinical,VNI,VNIa-4
ERS1142769,BK132,20427_2#70,Ashton,ERR1671668,Clinical,VNI,VNIa-93
ERS1142770,BK134,20427_2#71,Ashton,ERR1671669,Clinical,VNI,VNIa-4
ERS1142773,BK137,20427_3#1,Ashton,ERR1671671,Clinical,VNI,VNIa-4
ERS1142774,BK138,20949_2#12,Ashton,ERR1756545,Clinical,VNI,VNIa-93
ERS1142775,BK139,20949_2#13,Ashton,ERR1756546,Clinical,VNI,VNIa-5
ERS1142699,BK14,20427_2#8,Ashton,ERR1671606,Clinical,VNI,VNIa-4
ERS1142776,BK140,20949_2#14,Ashton,ERR1756547,Clinical,VNI,VNIa-5
ERS1142777,BK141,20427_3#2,Ashton,ERR1671672,Clinical,VNI,VNIa-5
ERS1142778,BK142,20949_2#15,Ashton,ERR1756548,Clinical,VNI,VNIa-5
ERS1142779,BK143,20427_3#3,Ashton,ERR1671673,Clinical,VNI,VNIa-4
ERS542429,BK144,14936_1#38,Ashton,ERR842658,Clinical,VNI,VNIa-93
ERS1142780,BK145,20949_2#16,Ashton,ERR1756549,Clinical,VNI,VNIa-32
ERS1142781,BK146,20949_2#17,Ashton,ERR1756550,Clinical,VNI,VNIa-5
ERS542578,BK147,14893_1#90,Ashton,ERR842628,Clinical,VNI,VNIa-5
ERS1142782,BK148,20949_2#18,Ashton,ERR1756551,Clinical,VNI,VNIa-4
ERS1142783,BK149,20427_3#4,Ashton,ERR1671674,Clinical,VNI,VNIa-4
ERS542301,BK15,14892_1#6,Ashton,ERR842481,Clinical,VNI,VNIa-5
ERS542434,BK150,14936_1#43,Ashton,ERR842661,Clinical,VNI,VNIa-93
ERS1142784,BK151,20427_3#5,Ashton,ERR1671675,Clinical,VNI,VNIa-4
ERS542436,BK153,14936_1#45,Ashton,ERR842663,Clinical,VNI,VNIa-93
ERS542437,BK155,14936_1#46,Ashton,ERR842664,Clinical,VNI,VNIa-4
ERS542435,BK156,14936_1#44,Ashton,ERR842662,Clinical,VNI,VNIa-4
ERS1142785,BK157,20427_3#6,Ashton,ERR1671676,Clinical,VNI,VNIa-93
ERS1142786,BK158,20427_3#7,Ashton,ERR1671677,Clinical,VNI,VNIa-outlier
ERS542440,BK159,14936_1#49,Ashton,ERR842666,Clinical,VNI,VNIa-5
ERS542309,BK16,14892_1#14,Ashton,ERR842488,Clinical,VNI,VNIa-4
ERS1142787,BK160,20427_3#8,Ashton,ERR1671678,Clinical,VNI,VNIa-5
ERS542442,BK161,14936_1#51,Ashton,ERR842668,Clinical,VNI,VNIa-5
ERS1142788,BK162,20427_3#9,Ashton,ERR1671679,Clinical,VNI,VNIa-93
ERS1142789,BK163,20427_3#10,Ashton,ERR1671680,Clinical,VNI,VNIa-4
ERS542445,BK164,14936_1#54,Ashton,ERR842670,Clinical,VNI,VNIa-4
ERS1142790,BK165,20427_3#11,Ashton,ERR1671681,Clinical,VNI,VNIa-4
ERS1142791,BK166,20427_3#12,Ashton,ERR1671682,Clinical,VNI,VNIa-93
ERS542448,BK167,14936_1#57,Ashton,ERR842672,Clinical,VNI,VNIa-32
ERS1142793,BK169,20427_3#13,Ashton,ERR1671683,Clinical,VNI,VNIa-5
ERS542317,BK17,14892_1#22,Ashton,ERR842495,Clinical,VNI,VNIa-32
ERS542451,BK171,14936_1#60,Ashton,ERR842675,Clinical,VNI,VNIa-5
ERS1142794,BK172,20427_3#14,Ashton,ERR1671684,Clinical,VNI,VNIa-4
ERS542452,BK173,14936_1#61,Ashton,ERR842676,Clinical,VNI,VNIa-5
ERS542453,BK174,14936_1#62,Ashton,ERR842677,Clinical,VNI,VNIa-93
ERS1142795,BK175,20427_3#15,Ashton,ERR1671685,Clinical,VNI,VNIa-5
ERS542456,BK177,15277_3#18,Ashton,ERR852936,Clinical,VNI,VNIa-4
ERS1142797,BK178,20427_3#16,Ashton,ERR1671686,Clinical,VNI,VNIa-4
ERS1142798,BK179,20949_2#21,Ashton,ERR1756554,Clinical,VNI,VNIa-93
ERS542325,BK18,14892_1#1,Ashton,ERR842477,Clinical,VNI,VNIa-4
ERS542459,BK180,14936_1#68,Ashton,ERR842680,Clinical,VNI,VNIa-4
ERS1142799,BK181,20427_3#17,Ashton,ERR1671687,Clinical,VNI,VNIa-5
ERS1142800,BK182,20427_3#18,Ashton,ERR1671688,Clinical,VNI,VNIa-4
ERS1142801,BK183,20949_2#22,Ashton,ERR1756555,Clinical,VNI,VNIa-4
ERS1142802,BK184,20427_3#19,Ashton,ERR1671689,Clinical,VNI,VNIa-5
ERS1142803,BK185,20949_2#23,Ashton,ERR1756556,Clinical,VNI,VNIa-5
ERS1142804,BK186,20949_2#24,Ashton,ERR1756557,Clinical,VNI,VNIa-5
ERS1142805,BK187,20949_2#25,Ashton,ERR1756558,Clinical,VNI,VNIa-5
ERS1142806,BK188,20427_3#20,Ashton,ERR1671690,Clinical,VNI,VNIa-4
ERS542468,BK189,14936_1#77,Ashton,ERR842689,Clinical,VNI,VNIa-4
ERS1142700,BK19,20427_2#9,Ashton,ERR1671607,Clinical,VNI,VNIa-32
ERS1142807,BK190,20427_3#21,Ashton,ERR1671691,Clinical,VNI,VNIa-5
ERS542470,BK191,14936_1#79,Ashton,ERR842690,Clinical,VNI,VNIa-4
ERS542471,BK192,14936_1#80,Ashton,ERR842691,Clinical,VNI,VNIa-4
ERS1142808,BK193,20427_3#22,Ashton,ERR1671692,Clinical,VNI,VNIa-4
ERS1142811,BK196,20427_3#23,Ashton,ERR1671693,Clinical,VNI,VNIa-5
ERS1142812,BK197,20427_3#24,Ashton,ERR1671694,Clinical,VNI,VNIa-5
ERS1142813,BK198,20949_2#27,Ashton,ERR1756560,Clinical,VNI,VNIa-4
ERS1142814,BK199,20427_3#25,Ashton,ERR1671695,Clinical,VNI,VNIa-4
ERS1142691,BK2,20949_2#2,Ashton,ERR1756535,Clinical,VNI,VNIa-4
ERS542341,BK20,14892_1#45,Ashton,ERR842511,Clinical,VNI,VNIa-5
ERS1142815,BK200,20427_3#26,Ashton,ERR1671696,Clinical,VNI,VNIa-4
ERS1142816,BK201,20427_3#27,Ashton,ERR1671697,Clinical,VNI,VNIa-5
ERS1142817,BK202,20427_3#28,Ashton,ERR1671698,Clinical,VNI,VNIa-4
ERS1142818,BK203,20427_3#29,Ashton,ERR1671699,Clinical,VNI,VNIa-4
ERS1142819,BK204,20427_3#30,Ashton,ERR1671700,Clinical,VNI,VNIa-4
ERS542484,BK205,14936_1#93,Ashton,ERR842704,Clinical,VNI,VNIa-4
ERS1142820,BK206,20949_2#28,Ashton,ERR1756561,Clinical,VNI,VNIa-93
ERS1142821,BK207,20427_3#31,Ashton,ERR1671701,Clinical,VNI,VNIa-5
ERS542488,BK209,14893_1#2,Ashton,ERR842558,Clinical,VNI,VNIa-32
ERS1142701,BK21,20427_2#10,Ashton,ERR1671608,Clinical,VNI,VNIa-5
ERS542489,BK210,14893_1#3,Ashton,ERR842559,Clinical,VNI,VNIa-5
ERS542490,BK211,14893_1#4,Ashton,ERR842560,Clinical,VNI,VNIa-5
ERS1142823,BK212,20427_3#32,Ashton,ERR1671702,Clinical,VNI,VNIa-4
ERS1142824,BK213,20949_2#29,Ashton,ERR1756562,Clinical,VNI,VNIa-93
ERS1142825,BK214,20427_3#33,Ashton,ERR1671703,Clinical,VNI,VNIa-5
ERS542494,BK215,14893_1#8,Ashton,ERR842563,Clinical,VNI,VNIa-4
ERS1142826,BK216,20427_3#34,Ashton,ERR1671704,Clinical,VNI,VNIa-4
ERS542496,BK217,14893_1#10,Ashton,ERR842565,Clinical,VNI,VNIa-5
ERS542497,BK218,14893_1#11,Ashton,ERR842566,Clinical,VNI,VNIa-4
ERS542498,BK219,14893_1#12,Ashton,ERR842567,Clinical,VNI,VNIa-4
ERS1142702,BK22,20427_2#11,Ashton,ERR1671609,Clinical,VNI,VNIa-5
ERS1142827,BK220,20427_3#35,Ashton,ERR1671705,Clinical,VNI,VNIa-4
ERS542500,BK221,14893_1#14,Ashton,ERR842569,Clinical,VNI,VNIa-5
ERS542501,BK222,14893_1#15,Ashton,ERR842570,Clinical,VNI,VNIa-5
ERS1142829,BK224,20427_3#36,Ashton,ERR1671706,Clinical,VNI,VNIa-4
ERS1142830,BK225,20427_3#37,Ashton,ERR1671707,Clinical,VNI,VNIa-4
ERS542584,BK226,15277_3#42,Ashton,ERR852960,Clinical,VNI,VNIa-93
ERS542502,BK227,14893_1#16,Ashton,ERR842571,Clinical,VNI,VNIa-93
ERS1142831,BK228,20427_3#38,Ashton,ERR1671708,Clinical,VNI,VNIa-93
ERS1142832,BK229,20427_3#39,Ashton,ERR1671709,Clinical,VNI,VNIa-5
ERS1142703,BK23,20427_2#12,Ashton,ERR1671610,Clinical,VNI,VNIa-4
ERS1142833,BK230,20427_3#40,Ashton,ERR1671710,Clinical,VNI,VNIa-X
ERS1142834,BK231,20427_3#41,Ashton,ERR1671711,Clinical,VNI,VNIa-4
ERS1142835,BK232,20949_2#31,Ashton,ERR1756564,Clinical,VNI,VNIa-4
ERS1142836,BK233,20427_3#42,Ashton,ERR1671712,Clinical,VNI,VNIa-5
ERS1142837,BK234,20427_3#43,Ashton,ERR1671713,Clinical,VNI,VNIa-4
ERS1142838,BK235,20427_3#44,Ashton,ERR1671714,Clinical,VNI,VNIa-4
ERS1142839,BK236,20427_3#45,Ashton,ERR1671715,Clinical,VNI,VNIa-5
ERS1142840,BK237,20427_3#46,Ashton,ERR1671716,Clinical,VNI,VNIa-93
ERS1142841,BK238,20427_3#47,Ashton,ERR1671717,Clinical,VNI,VNIa-4
ERS1142842,BK239,20427_3#48,Ashton,ERR1671718,Clinical,VNI,VNIa-4
ERS1142704,BK24,20427_2#13,Ashton,ERR1671611,Clinical,VNI,VNIa-93
ERS1142843,BK240,20427_3#49,Ashton,ERR1671719,Clinical,VNI,VNIa-4
ERS1142844,BK241,20427_3#50,Ashton,ERR1671720,Clinical,VNI,VNIa-5
ERS1142845,BK242,20427_3#51,Ashton,ERR1671721,Clinical,VNI,VNIa-5
ERS1142846,BK243,20427_3#52,Ashton,ERR1671722,Clinical,VNI,VNIa-93
ERS1142847,BK244,20427_3#53,Ashton,ERR1671723,Clinical,VNI,VNIa-4
ERS542520,BK245,14893_1#34,Ashton,ERR842589,Clinical,VNI,VNIa-4
ERS1142848,BK246,20427_3#54,Ashton,ERR1671724,Clinical,VNI,VNIa-4
ERS1142849,BK247,20427_3#55,Ashton,ERR1671725,Clinical,VNI,VNIa-4
ERS1142850,BK248,20427_3#56,Ashton,ERR1671726,Clinical,VNI,VNIa-4
ERS1142851,BK249,20427_3#57,Ashton,ERR1671727,Clinical,VNI,VNIa-5
ERS1142705,BK25,20427_2#14,Ashton,ERR1671612,Clinical,VNI,VNIa-5
ERS1142852,BK250,20427_3#58,Ashton,ERR1671728,Clinical,VNI,VNIa-4
ERS1142853,BK251,20949_2#32,Ashton,ERR1756565,Clinical,VNI,VNIa-5
ERS542527,BK252,14893_1#40,Ashton,ERR842593,Clinical,VNI,VNIa-93
ERS1142854,BK253,20949_2#33,Ashton,ERR1756566,Clinical,VNI,VNIa-4
ERS1142855,BK254,20949_2#34,Ashton,ERR1756567,Clinical,VNI,VNIa-4
ERS1142856,BK255,20949_2#35,Ashton,ERR1756568,Clinical,VNI,VNIa-5
ERS1142857,BK256,20949_2#36,Ashton,ERR1756569,Clinical,VNI,VNIa-93
ERS1142858,BK257,20949_2#37,Ashton,ERR1756570,Clinical,VNI,VNIa-5
ERS1142859,BK258,20949_2#38,Ashton,ERR1756571,Clinical,VNI,VNIa-93
ERS1142860,BK259,20949_2#39,Ashton,ERR1756572,Clinical,VNI,VNIa-93
ERS542389,BK26,14892_1#93,Ashton,ERR842555,Clinical,VNI,VNIa-5
ERS1142861,BK260,20427_4#1,Ashton,ERR1671729,Clinical,VNI,VNIa-4
ERS542536,BK261,14893_1#48,Ashton,ERR842599,Clinical,VNI,VNIa-4
ERS542537,BK262,14893_1#49,Ashton,ERR842600,Clinical,VNI,VNIa-5
ERS1142862,BK263,20427_4#2,Ashton,ERR1671730,Clinical,VNI,VNIa-4
ERS542539,BK264,14893_1#51,Ashton,ERR842602,Clinical,VNI,VNIa-4
ERS542540,BK265,14893_1#52,Ashton,ERR842603,Clinical,VNI,VNIa-4
ERS1142863,BK266,20427_4#3,Ashton,ERR1671731,Clinical,VNI,VNIa-4
ERS1142864,BK267,20427_4#4,Ashton,ERR1671732,Clinical,VNI,VNIa-4
ERS1142865,BK268,20949_2#40,Ashton,ERR1756573,Clinical,VNI,VNIa-4
ERS1142866,BK269,20427_4#5,Ashton,ERR1671733,Clinical,VNI,VNIa-5
