sample,strain,name,dataset,run,source,lineage,vni_subdivision
ERS542302,BK27,14892_1#7,Ashton,ERR842482,Clinical,VNI,VNIa-32
ERS542545,BK270,14893_1#57,Ashton,ERR842607,Clinical,VNI,VNIa-4
ERS542546,BK271,14893_1#58,Ashton,ERR842608,Clinical,VNI,VNIa-4
ERS1142867,BK272,20949_2#41,Ashton,ERR1756574,Clinical,VNI,VNIa-5
ERS1142868,BK273,20427_4#6,Ashton,ERR1671734,Clinical,VNI,VNIa-93
ERS1142869,BK274,20949_2#42,Ashton,ERR1756575,Clinical,VNI,VNIa-4
ERS1142870,BK275,20427_4#7,Ashton,ERR1671735,Clinical,VNI,VNIa-5
ERS1142871,BK276,20427_4#8,Ashton,ERR1671736,Clinical,VNI,VNIa-4
ERS1142872,BK277,20949_2#43,Ashton,ERR1756576,Clinical,VNI,VNIa-93
ERS1142873,BK278,20427_4#9,Ashton,ERR1671737,Clinical,VNI,VNIa-4
ERS542554,BK279,14893_1#66,Ashton,ERR842612,Clinical,VNI,VNIa-4
ERS542310,BK28,14892_1#15,Ashton,ERR842489,Clinical,VNI,VNIa-5
ERS1142874,BK280,20427_4#10,Ashton,ERR1671738,Clinical,VNI,VNIa-4
ERS1142875,BK282,20427_4#11,Ashton,ERR1671739,Clinical,VNI,VNIa-4
ERS1142876,BK283,20949_2#44,Ashton,ERR1756577,Clinical,VNI,VNIa-93
ERS542558,BK284,14893_1#70,Ashton,ERR842614,Clinical,VNI,VNIa-4
ERS1142877,BK285,20427_4#12,Ashton,ERR1671740,Clinical,VNI,VNIa-4
ERS1142878,BK286,20427_4#13,Ashton,ERR1671741,Clinical,VNI,VNIa-4
ERS2541102,BK287,BK287,Ashton,ERR2624293,Clinical,VNI,VNIa-4
ERS1142880,BK288,20427_4#15,Ashton,ERR1671743,Clinical,VNI,VNIa-5
ERS1142881,BK289,20949_2#45,Ashton,ERR1756578,Clinical,VNI,VNIa-93
ERS1142706,BK29,20949_2#3,Ashton,ERR1756536,Clinical,VNI,VNIa-93
ERS1142882,BK290,20949_2#46,Ashton,ERR1756579,Clinical,VNI,VNIa-5
ERS1142883,BK291,20427_4#16,Ashton,ERR1671744,Clinical,VNI,VNIa-4
ERS1142885,BK293,20427_4#17,Ashton,ERR1671745,Clinical,VNI,VNIa-5
ERS1142886,BK294,20949_2#48,Ashton,ERR1756581,Clinical,VNI,VNIa-5
ERS1142887,BK295,20949_2#49,Ashton,ERR1756582,Clinical,VNI,VNIa-4
ERS1142888,BK296,20427_4#18,Ashton,ERR1671746,Clinical,VNI,VNIa-5
ERS1142889,BK297,20427_4#19,Ashton,ERR1671747,Clinical,VNI,VNIa-5
ERS1142890,BK298,20949_2#50,Ashton,ERR1756583,Clinical,VNI,VNIa-5
ERS1142692,BK3,20427_2#1,Ashton,ERR1671599,Clinical,VNI,VNIa-5
ERS542326,BK30,14892_1#30,Ashton,ERR842498,Clinical,VNI,VNIa-4
ERS1142892,BK301,20949_2#52,Ashton,ERR1756585,Clinical,VNI,VNIa-5
ERS542334,BK31,14892_1#38,Ashton,ERR842505,Clinical,VNI,VNIa-5
ERS542342,BK32,14892_1#46,Ashton,ERR842512,Clinical,VNI,VNIa-4
ERS1142707,BK33,20427_2#15,Ashton,ERR1671613,Clinical,VNI,VNIa-93
ERS1142708,BK34,20949_2#4,Ashton,ERR1756537,Clinical,VNI,VNIa-5
ERS542366,BK35,14892_1#70,Ashton,ERR842534,Clinical,VNI,VNIa-4
ERS542374,BK36,14892_1#78,Ashton,ERR842541,Clinical,VNI,VNIa-32
ERS1142709,BK37,20427_2#16,Ashton,ERR1671614,Clinical,VNI,VNIa-5
ERS1142710,BK38,20949_2#5,Ashton,ERR1756538,Clinical,VNI,VNIa-5
ERS542303,BK39,14892_1#8,Ashton,ERR842483,Clinical,VNI,VNIa-5
ERS542324,BK4,14892_1#29,Ashton,ERR842497,Clinical,VNI,VNIa-5
ERS542311,BK40,14892_1#16,Ashton,ERR842490,Clinical,VNI,VNIa-4
ERS1142711,BK41,20427_2#17,Ashton,ERR1671615,Clinical,VNI,VNIa-5
ERS1142712,BK42,20427_2#18,Ashton,ERR1671616,Clinical,VNI,VNIa-5
ERS542335,BK43,14892_1#39,Ashton,ERR842506,Clinical,VNI,VNIa-5
ERS542343,BK44,14892_1#47,Ashton,ERR842513,Clinical,VNI,VNIa-5
ERS1142713,BK45,20427_2#19,Ashton,ERR1671617,Clinical,VNI,VNIa-5
ERS1142714,BK46,20427_2#20,Ashton,ERR1671618,Clinical,VNI,VNIa-32
ERS1142715,BK47,20949_2#6,Ashton,ERR1756539,Clinical,VNI,VNIa-5
ERS1142716,BK48,20427_2#21,Ashton,ERR1671619,Clinical,VNI,VNIa-4
ERS1142717,BK49,20427_2#22,Ashton,ERR1671620,Clinical,VNI,VNIa-5
ERS1142693,BK5,20427_2#2,Ashton,ERR1671600,Clinical,VNI,VNIa-4
ERS542391,BK50,14892_1#95,Ashton,ERR842557,Clinical,VNI,VNIa-5
ERS1142718,BK51,20427_2#23,Ashton,ERR1671621,Clinical,VNI,VNIa-5
ERS542312,BK52,14892_1#17,Ashton,ERR842491,Clinical,VNI,VNIa-4
ERS1142719,BK53,20427_2#24,Ashton,ERR1671622,Clinical,VNI,VNIa-4
ERS542328,BK54,14892_1#32,Ashton,ERR842500,Clinical,VNI,VNIa-5
ERS542336,BK55,14892_1#40,Ashton,ERR842507,Clinical,VNI,VNIa-93
ERS542344,BK56,14892_1#48,Ashton,ERR842514,Clinical,VNI,VNIa-4
ERS1142720,BK57,20427_2#25,Ashton,ERR1671623,Clinical,VNI,VNIa-4
ERS1142721,BK58,20427_2#26,Ashton,ERR1671624,Clinical,VNI,VNIa-4
ERS1142722,BK59,20427_2#27,Ashton,ERR1671625,Clinical,VNI,VNIa-4
ERS542340,BK6,14892_1#44,Ashton,ERR842510,Clinical,VNI,VNIa-4
ERS1142723,BK60,20427_2#28,Ashton,ERR1671626,Clinical,VNI,VNIa-5
ERS1142724,BK61,20427_2#29,Ashton,ERR1671627,Clinical,VNI,VNIa-4
ERS542392,BK62,14936_1#1,Ashton,ERR842634,Clinical,VNI,VNIa-5
ERS1142725,BK63,20427_2#30,Ashton,ERR1671628,Clinical,VNI,VNIa-5
ERS1142726,BK64,20427_2#31,Ashton,ERR1671629,Clinical,VNI,VNIa-4
ERS542321,BK65,14892_1#26,Ashton,ERR842496,Clinical,VNI,VNIa-5
ERS1142727,BK66,20427_2#32,Ashton,ERR1671630,Clinical,VNI,VNIa-32
ERS1142728,BK68,20427_2#33,Ashton,ERR1671631,Clinical,VNI,VNIa-32
ERS1142729,BK69,20427_2#34,Ashton,ERR1671632,Clinical,VNI,VNIa-4
ERS1142694,BK7,20427_2#3,Ashton,ERR1671601,Clinical,VNI,VNIa-4
ERS542361,BK70,14892_1#65,Ashton,ERR842530,Clinical,VNI,VNIa-4
ERS1142730,BK71,20427_2#35,Ashton,ERR1671633,Clinical,VNI,VNIa-4
ERS1142731,BK72,20427_2#36,Ashton,ERR1671634,Clinical,VNI,VNIa-93
ERS1142732,BK73,20427_2#37,Ashton,ERR1671635,Clinical,VNI,VNIa-4
ERS1142733,BK74,20427_2#38,Ashton,ERR1671636,Clinical,VNI,VNIa-4
ERS542306,BK75,14892_1#11,Ashton,ERR842485,Clinical,VNI,VNIa-4
ERS1142734,BK76,20427_2#39,Ashton,ERR1671637,Clinical,VNI,VNIa-5
ERS1142735,BK77,20949_2#7,Ashton,ERR1756540,Clinical,VNI,VNIa-5
ERS1142736,BK78,20949_2#8,Ashton,ERR1756541,Clinical,VNI,VNIa-5
ERS1142737,BK79,20427_2#40,Ashton,ERR1671638,Clinical,VNI,VNIa-4
ERS1142695,BK8,20427_2#4,Ashton,ERR1671602,Clinical,VNI,VNIb
ERS1142738,BK80,20427_2#41,Ashton,ERR1671639,Clinical,VNI,VNIa-4
ERS1142739,BK81,20427_2#42,Ashton,ERR1671640,Clinical,VNI,VNIa-32
ERS1142740,BK82,20427_2#43,Ashton,ERR1671641,Clinical,VNI,VNIa-5
ERS1142741,BK83,20427_2#44,Ashton,ERR1671642,Clinical,VNI,VNIa-4
ERS1142742,BK84,20427_2#45,Ashton,ERR1671643,Clinical,VNI,VNIa-4
ERS1142743,BK85,20427_2#46,Ashton,ERR1671644,Clinical,VNI,VNIa-93
ERS1142744,BK86,20427_2#47,Ashton,ERR1671645,Clinical,VNI,VNIa-4
ERS542394,BK87,14936_1#3,Ashton,ERR842635,Clinical,VNI,VNIa-4
ERS1142745,BK88,20427_2#48,Ashton,ERR1671646,Clinical,VNI,VNIa-4
ERS1142746,BK89,20427_2#49,Ashton,ERR1671647,Clinical,VNI,VNIa-4
ERS1142747,BK90,20427_2#50,Ashton,ERR1671648,Clinical,VNI,VNIa-4
ERS1142748,BK91,20427_2#51,Ashton,ERR1671649,Clinical,VNI,VNIa-5
ERS1142749,BK92,20427_2#52,Ashton,ERR1671650,Clinical,VNI,VNIa-32
ERS1142750,BK93,20427_2#53,Ashton,ERR1671651,Clinical,VNI,VNIa-4
ERS1142751,BK94,20427_2#54,Ashton,ERR1671652,Clinical,VNI,VNIa-5
ERS1142752,BK95,20427_2#55,Ashton,ERR1671653,Clinical,VNI,VNIa-4
ERS1142753,BK96,20427_2#56,Ashton,ERR1671654,Clinical,VNI,VNIa-4
ERS1142754,BK97,20427_2#57,Ashton,ERR1671655,Clinical,VNI,VNIa-5
ERS1142755,BK98,20427_2#58,Ashton,ERR1671656,Clinical,VNI,VNIa-4
ERS1142756,BK99,20427_2#59,Ashton,ERR1671657,Clinical,VNI,VNIa-5
ERS542586,BMD0367,14893_3#52,Ashton,ERR775391,Clinical,VNI,VNIa-5
ERS2541335,BMD101,BMD101,Ashton,ERR2624100,Clinical,VNI,VNIa-5
ERS542587,BMD1198,14893_3#53,Ashton,ERR775392,Clinical,VNI,VNIa-5
ERS2541165,BMD1228,BMD1228,Ashton,ERR2624491,Clinical,VNI,VNIa-5
ERS2541240,BMD1232,BMD1232,Ashton,ERR2624416,Clinical,VNI,VNIa-5
ERS2541258,BMD1291,BMD1291,Ashton,ERR2624106,Clinical,VNI,VNIa-5
ERS1142896,BMD1338,20949_2#56,Ashton,ERR1764085,Clinical,VNI,VNIa-5
ERS2541242,BMD1353,BMD1353,Ashton,ERR2624126,Clinical,VNI,VNIa-5
ERS2541109,BMD1392,BMD1392,Ashton,ERR2624444,Clinical,VNI,VNIa-4
ERS2541103,BMD1415,BMD1415,Ashton,ERR2624218,Clinical,VNI,VNIa-4
ERS2541176,BMD1452,BMD1452,Ashton,ERR2624297,Clinical,VNI,VNIa-5
ERS2541129,BMD1465,BMD1465,Ashton,ERR2624494,Clinical,VNI,VNIa-5
ERS2541208,BMD1534,BMD1534,Ashton,ERR2624177,Clinical,VNI,VNIa-5
ERS2541252,BMD1592,BMD1592,Ashton,ERR2624472,Clinical,VNI,VNIa-5
ERS1142898,BMD1646,20427_4#20,Ashton,ERR1671748,Clinical,VNI,VNIa-5
ERS2541306,BMD1673,BMD1673,Ashton,ERR2624391,Clinical,VNI,VNIa-5
ERS2541096,BMD1713,BMD1713,Ashton,ERR2624256,Clinical,VNI,VNIa-5
ERS2541101,BMD1716,BMD1716,Ashton,ERR2624394,Clinical,VNI,VNIa-5
ERS2541112,BMD1828,BMD1828,Ashton,ERR2624152,Clinical,VNI,VNIa-5
ERS2541152,BMD1879,BMD1879,Ashton,ERR2624158,Clinical,VNI,VNIa-4
ERS2541228,BMD1903,BMD1903,Ashton,ERR2624340,Clinical,VNI,VNIa-5
ERS2541195,BMD1929,BMD1929,Ashton,ERR2624316,Clinical,VNI,VNIa-4
ERS2541279,BMD2031,BMD2031,Ashton,ERR2624133,Clinical,VNI,VNIa-5
ERS2541122,BMD2106,BMD2106,Ashton,ERR2624102,Clinical,VNI,VNIa-5
ERS2541247,BMD2209,BMD2209,Ashton,ERR2624406,Clinical,VNI,VNIa-4
ERS2541192,BMD2216,BMD2216,Ashton,ERR2624246,Clinical,VNI,VNIa-32
ERS2541161,BMD2298,BMD2298,Ashton,ERR2624090,Clinical,VNI,VNIa-5
ERS2541230,BMD2407,BMD2407,Ashton,ERR2624356,Clinical,VNI,VNIa-5
ERS2541327,BMD2495,BMD2495,Ashton,ERR2624343,Clinical,VNI,VNIa-5
ERS2541162,BMD2617,BMD2617,Ashton,ERR2624480,Clinical,VNI,VNIa-5
ERS2541159,BMD2620,BMD2620,Ashton,ERR2624314,Clinical,VNI,VNIa-93
ERS2541330,BMD2655,BMD2655,Ashton,ERR2624227,Clinical,VNI,VNIa-5
ERS2541090,BMD2733,BMD2733,Ashton,ERR2624130,Clinical,VNI,VNIa-4
ERS2541328,BMD2765,BMD2765,Ashton,ERR2624404,Clinical,VNI,VNIa-5
ERS2541134,BMD2773,BMD2773,Ashton,ERR2624450,Clinical,VNI,VNIa-4
ERS2541198,BMD2801,BMD2801,Ashton,ERR2624299,Clinical,VNI,VNIa-32
ERS2541218,BMD2806,BMD2806,Ashton,ERR2624211,Clinical,VNI,VNIa-4
ERS2541128,BMD2809,BMD2809,Ashton,ERR2624351,Clinical,VNI,VNIa-5
ERS2541287,BMD2834,BMD2834,Ashton,ERR2624235,Clinical,VNI,VNIa-4
ERS2541114,BMD2973,BMD2973,Ashton,ERR2624503,Clinical,VNI,VNIa-4
ERS2541315,BMD3002,BMD3002,Ashton,ERR2624278,Clinical,VNI,VNIa-5
ERS2541273,BMD3079,BMD3079,Ashton,ERR2624194,Clinical,VNI,VNIa-5
ERS2541264,BMD3117,BMD3117,Ashton,ERR2624428,Clinical,VNI,VNIa-5
ERS2541207,BMD3118,BMD3118,Ashton,ERR2624483,Clinical,VNI,VNIa-5
ERS2541284,BMD3135,BMD3135,Ashton,ERR2624112,Clinical,VNI,VNIa-5
ERS2541126,BMD3144,BMD3144,Ashton,ERR2624423,Clinical,VNI,VNIa-5
ERS2541086,BMD3244,BMD3244,Ashton,ERR2624377,Clinical,VNI,VNIa-5
ERS2541220,BMD368,BMD368,Ashton,ERR2624495,Clinical,VNI,VNIa-5
ERS2541153,BMD394,BMD394,Ashton,ERR2624402,Clinical,VNI,VNIa-4
ERS2541183,BMD494,BMD494,Ashton,ERR2624345,Clinical,VNI,VNIa-5
ERS2541202,BMD534,BMD534,Ashton,ERR2624417,Clinical,VNI,VNIa-5
ERS1142899,BMD673,20949_2#58,Ashton,ERR1756590,Clinical,VNI,VNIa-5
ERS542590,BMD700,14893_3#56,Ashton,ERR775395,Clinical,VNI,VNIa-5
ERS2541087,BMD732,BMD732,Ashton,ERR2624114,Clinical,VNI,VNIa-5
ERS2541149,BMD745,BMD745,Ashton,ERR2624301,Clinical,VNI,VNIa-4
ERS2541274,BMD761,BMD761,Ashton,ERR2624203,Clinical,VNI,VNIa-5
ERS2541188,BMD852,BMD852,Ashton,ERR2624161,Clinical,VNI,VNIa-5
ERS1142893,BMD854,20949_2#53,Ashton,ERR1756586,Clinical,VNI,VNIa-5
ERS2541097,BMD865,BMD865,Ashton,ERR2624454,Clinical,VNI,VNIa-5
ERS2541081,BMD867,BMD867,Ashton,ERR2624339,Clinical,VNI,VNIa-5
ERS2541169,BMD894,BMD894,Ashton,ERR2624170,Clinical,VNI,VNIa-5
ERS2541210,BMD899,BMD899,Ashton,ERR2624279,Clinical,VNI,VNIa-5
ERS1142894,BMD903,20949_2#54,Ashton,ERR1756587,Clinical,VNI,VNIa-5
ERS2541246,BMD910,BMD910,Ashton,ERR2624481,Clinical,VNI,VNIa-5
ERS2541156,BMD915,BMD915,Ashton,ERR2624113,Clinical,VNI,VNIa-32
ERS2541105,BMD942,BMD942,Ashton,ERR2624207,Clinical,VNI,VNIa-32
ERS1142895,BMD973,20949_2#55,Ashton,ERR1756588,Clinical,VNI,VNIa-4
ERS2541405,CNS_1017,CNS_1017,Ashton,ERR2624163,Clinical,VNI,VNIa-4
ERS2541404,CNS_1026,CNS_1026,Ashton,ERR2624282,Clinical,VNI,VNIa-4
ERS2541403,CNS_1047,CNS_1047,Ashton,ERR2624220,Clinical,VNI,VNIa-4
ERS2541402,CNS_1085,CNS_1085,Ashton,ERR2624098,Clinical,VNI,VNIa-4
ERS2541401,CNS_1087,CNS_1087,Ashton,ERR2624223,Clinical,VNI,VNIa-4
ERS2541400,CNS_1089,CNS_1089,Ashton,ERR2624368,Clinical,VNI,VNIa-4
ERS2541399,CNS_1110,CNS_1110,Ashton,ERR2624228,Clinical,VNI,VNIa-4
ERS2541398,CNS_1125,CNS_1125,Ashton,ERR2624254,Clinical,VNI,VNIa-4
ERS2541397,CNS_1129,CNS_1129,Ashton,ERR2624341,Clinical,VNI,VNIa-4
ERS2541396,CNS_1156,CNS_1156,Ashton,ERR2624243,Clinical,VNI,VNIa-4
ERS2541395,CNS_1179,CNS_1179,Ashton,ERR2624200,Clinical,VNI,VNIa-4
ERS2541394,CNS_1181,CNS_1181,Ashton,ERR2624111,Clinical,VNI,VNIa-4
ERS2541393,CNS_121,CNS_121,Ashton,ERR2624433,Clinical,VNI,VNIa-5
ERS2541392,CNS_1302,CNS_1302,Ashton,ERR2624318,Clinical,VNI,VNIa-4
ERS2541340,CNS_133-2,CNS_133-2,Ashton,ERR2624136,Clinical,VNI,VNIa-4
ERS2541391,CNS_1379,CNS_1379,Ashton,ERR2624487,Clinical,VNI,VNIa-4
ERS2541390,CNS_1385,CNS_1385,Ashton,ERR2624379,Clinical,VNI,VNIa-4
ERS2541389,CNS_1394,CNS_1394,Ashton,ERR2624381,Clinical,VNI,VNIa-4
ERS2541341,CNS_1396-2,CNS_1396-2,Ashton,ERR2624229,Clinical,VNI,VNIa-5
ERS2541388,CNS_1403,CNS_1403,Ashton,ERR2624107,Clinical,VNI,VNIa-4
ERS2541387,CNS_1413,CNS_1413,Ashton,ERR2624405,Clinical,VNI,VNIa-4
ERS2541386,CNS_1419,CNS_1419,Ashton,ERR2624396,Clinical,VNI,VNIa-4
ERS2541385,CNS_1420,CNS_1420,Ashton,ERR2624123,Clinical,VNI,VNIa-4
ERS2541384,CNS_1453,CNS_1453,Ashton,ERR2624386,Clinical,VNI,VNIa-4
ERS2541382,CNS_1474,CNS_1474,Ashton,ERR2624190,Clinical,VNI,VNIa-4
ERS2541381,CNS_1569,CNS_1569,Ashton,ERR2624167,Clinical,VNI,VNIa-5
ERS2541380,CNS_1589,CNS_1589,Ashton,ERR2624213,Clinical,VNI,VNIa-4
ERS2541379,CNS_198,CNS_198,Ashton,ERR2624347,Clinical,VNI,VNIa-4
ERS2541378,CNS_199,CNS_199,Ashton,ERR2624335,Clinical,VNI,VNIa-4
ERS2541377,CNS_245,CNS_245,Ashton,ERR2624457,Clinical,VNI,VNIa-4
ERS2541376,CNS_289,CNS_289,Ashton,ERR2624407,Clinical,VNI,VNIa-4
ERS2541375,CNS_430,CNS_430,Ashton,ERR2624473,Clinical,VNI,VNIa-4
ERS2541374,CNS_445,CNS_445,Ashton,ERR2624328,Clinical,VNI,VNIa-4
ERS2541373,CNS_447,CNS_447,Ashton,ERR2624261,Clinical,VNI,VNIa-4
ERS2541372,CNS_456,CNS_456,Ashton,ERR2624289,Clinical,VNI,VNIa-4
ERS2541371,CNS_487,CNS_487,Ashton,ERR2624296,Clinical,VNI,VNIa-93
ERS2541370,CNS_517,CNS_517,Ashton,ERR2624304,Clinical,VNI,VNIa-5
ERS2541369,CNS_569,CNS_569,Ashton,ERR2624373,Clinical,VNI,VNIa-4
ERS2541368,CNS_595,CNS_595,Ashton,ERR2624390,Clinical,VNI,VNIa-4
ERS2541367,CNS_625,CNS_625,Ashton,ERR2624302,Clinical,VNI,VNIa-4
ERS2541366,CNS_626,CNS_626,Ashton,ERR2624342,Clinical,VNI,VNIa-4
ERS2541365,CNS_681,CNS_681,Ashton,ERR2624295,Clinical,VNI,VNIa-4
ERS2541364,CNS_806,CNS_806,Ashton,ERR2624182,Clinical,VNI,VNIa-4
ERS2541363,CNS_811,CNS_811,Ashton,ERR2624287,Clinical,VNI,VNIa-93
ERS2541362,CNS_814,CNS_814,Ashton,ERR2624455,Clinical,VNI,VNIa-4
ERS2541361,CNS_863,CNS_863,Ashton,ERR2624372,Clinical,VNI,VNIa-4
ERS2541360,CNS_897,CNS_897,Ashton,ERR2624471,Clinical,VNI,VNIa-4
ERS2541359,CNS_929,CNS_929,Ashton,ERR2624336,Clinical,VNI,VNIa-4
ERS2541358,CNS_936,CNS_936,Ashton,ERR2624204,Clinical,VNI,VNIa-5
ERS2541357,CNS_955,CNS_955,Ashton,ERR2624311,Clinical,VNI,VNIa-4
ERS2541356,CNS_978,CNS_978,Ashton,ERR2624452,Clinical,VNI,VNIa-4
ERS2541355,CNS_999,CNS_999,Ashton,ERR2624137,Clinical,VNI,VNIa-4
ERS2541354,CNS_FS_1931,CNS_FS_1931,Ashton,ERR2624498,Clinical,VNI,VNIa-4
ERS2541353,CNS_FS_4256,CNS_FS_4256,Ashton,ERR2624364,Clinical,VNI,VNIa-4
ERS2541352,CNS_ST_1930,CNS_ST_1930,Ashton,ERR2624257,Clinical,VNI,VNIa-4
ERS2541351,HC_ST_2296,HC_ST_2296,Ashton,ERR2624310,Clinical,VNI,VNIa-4
ERS2541350,HC_ST_352,HC_ST_352,Ashton,ERR2624409,Clinical,VNI,VNIa-4
ERS1142900,LD1,20949_2#59,Ashton,ERR1756591,Environment,VNI,VNIa-4
ERS542598,LD2,15277_3#47,Ashton,ERR852965,Environment,VNI,VNIa-5
ERS542599,NT7533,14893_3#64,Ashton,ERR775398,Environment,VNI,VNIa-5
ERS2541349,UI_11199,UI_11199,Ashton,ERR2624224,Clinical,VNI,VNIa-4
ERS2541348,UI_12808,UI_12808,Ashton,ERR2624395,Clinical,VNI,VNIa-4
ERS2541347,UI_14167,UI_14167,Ashton,ERR2624362,Clinical,VNI,VNIa-4
ERS2541346,UI_14344,UI_14344,Ashton,ERR2624260,Clinical,VNI,VNIa-4
ERS2541345,UI_16721,UI_16721,Ashton,ERR2624370,Clinical,VNI,VNIa-4
ERS2541344,UI_16771,UI_16771,Ashton,ERR2624157,Clinical,VNI,VNIa-4
ERS2541343,UI_21616,UI_21616,Ashton,ERR2624274,Clinical,VNI,VNIa-4
ERS2541342,UI_31647-2,UI_31647-2,Ashton,ERR2624321,Clinical,VNI,VNIa-4
ERS2541318,UI29674,UI29674,Ashton,ERR2624436,Clinical,VNI,VNIa-4
ERS2541323,UI32312,UI32312,Ashton,ERR2624374,Clinical,VNI,VNIa-4
GCF_000149245,H99,H99,,GCF_000149245,Clinical,VNI,VNIb
